,User,Data Created,Number of Likes,Source of Tweet,Tweet
1788,rbbsbbcals,2023-01-14 04:04:10+00:00,1,Twitter for iPhone,why does my mom not understand that i sit in my room to avoid her? MF I AM DEPRESSED
1789,dJ_broadband,2023-01-14 04:00:38+00:00,1,Twitter Web App,"that i was getting depressed subconsciouslly.
Thoughts and wishes and Whys have become many in my head, i wish she was around now, i wish i could speak to her one more time.
I am glad i got a chance to be with her during her last days, Thank you God."
1790,felis2458,2023-01-14 03:59:38+00:00,1,Twitter for Android,"@asherdesai @alexsims101 @KenDBerryMD Oh I am NEVER going to be vegan! I did the vegan challenge years ago. I lasted a week. Sad, dry, tasteless meals. Made me depressed!😆"
1791,babolatmgc,2023-01-14 03:57:50+00:00,0,Twitter Web App,@NocturnalDuet @Huntsekker i am depressed yall are so cute
1792,WillKremer,2023-01-14 03:55:48+00:00,1,Twitter for iPhone,I’m a hard boiled marketing bitch. I run my own division where these basically clinically depressed nothings do my bidding. And I send many emails‼️ i am capitalism
1793,eu_gi_oh,2023-01-14 03:52:51+00:00,2,Twitter Web App,Idk man I could just live without problems and no struggles. That sounds much more sexier to me ngl — oh yeah i totally get that side of it too because i am on drugs and chronically depressed  https://t.co/OgAQB7EbfK
1794,Zo65864585,2023-01-14 03:50:03+00:00,0,Twitter Web App,I realized since he is like my other half - when he is depressed I am depressed when he is happy I am happy . I didn’t realize why I was so depressed recently but that has to be it
1795,theicyretros,2023-01-14 03:40:40+00:00,0,Twitter for iPhone,Wonder why I’m moving the way I am now
1796,MyFAddictions,2023-01-14 03:33:07+00:00,2,Twitter for iPhone,@Lord_Had2nd My best friend for 20 years just old me she is moving across the map. I am crushed and depressed. She is like my only true friend. So I totally get trusting etc.
1797,lizetteisbeast,2023-01-14 03:33:01+00:00,0,Twitter for Android,"I'm not depressed, I am heartbroken &amp; still grieving sooo many losses..."
1798,lilandydandy,2023-01-14 03:28:15+00:00,0,Twitter for iPhone,I am extremely depressed but it’s okay it’ll be better by tomorrow
1799,beargyu_313,2023-01-14 03:24:38+00:00,2,Twitter for iPhone,im still not over it. i am still depressed after txt’s tour
1800,klowngut,2023-01-14 03:24:31+00:00,53,Twitter for iPhone,i am so depressed lol https://t.co/VSxIBuSsTK
1801,northrawit,2023-01-14 03:24:18+00:00,3,Twitter for iPhone,"i am not the sad depressed girl i used to be when this scene was released 
#MySchoolPresidentEP6 https://t.co/fWRpglmKyy"
1802,thebeardedamish,2023-01-14 03:23:59+00:00,0,Twitter Web App,The other day I posted a rather personal/depressed tweet. Some of you reached out with concern. I am here to tell you to not worry. The tweet has also been deleted.
1803,Stephan92603356,2023-01-14 03:22:19+00:00,1,Twitter Web App,"@PatMcAfeeShow @BostonConnr #PMSLive I am too depressed to think of anyone to say something ro. Nobody noticed I was gone for a week, no body cared
$StephDHal"
1804,BUNNICALORI,2023-01-14 03:14:56+00:00,3,Twitter for iPhone,i am like so depressed and my mom is making it worse because all shes doing is saying im mad at her since i avoid people when im depressed
1805,Iamdepr47974144,2023-01-14 03:14:16+00:00,0,"Cheap Bots, Done Quick!",I  feel so lonely. so I'll just end it . #depression @Imheret45140132
1806,Ma57265507,2023-01-14 03:12:53+00:00,0,Twitter for iPhone,"27. I miss you when I am depressed，just as I miss the sunlight in winter; I miss you when I feel happy, just as I miss the shade in the hot sun.

#ApoNattawinxDiorTaipei
#Nnattawin
@Dior@Nnattawin1"
1807,IronballsMcGinT,2023-01-14 03:02:21+00:00,3,Twitter for Android,"The Midwest is the worst for winter, 2 days of sun in the last 28. I am so fucking depressed."
1808,melialynnx,2023-01-14 02:58:42+00:00,1,Twitter for iPhone,my cat likes when i am depressed bc i spend all day in bed
1809,catpawluvr,2023-01-14 02:50:24+00:00,1,Twitter for iPhone,i wonder if anyone irl can tell how depressed and lonely i am every day; i should’ve done acting at uni
1810,PlcGen,2023-01-14 02:48:32+00:00,0,"Cheap Bots, Done Quick!",I am feeling depressed
1811,unprdctbljovss,2023-01-14 02:47:15+00:00,0,Twitter for Android,"I'm sick of putting on such a brave face.For the first time in how many years of being brave, I want to say that I am so sick of this existence and I don't want to feel depressed any longer."
1812,Polly_Obscurum,2023-01-14 02:40:36+00:00,1,Twitter Web App,I am a depressed demon...
1813,ajAqualina,2023-01-14 02:38:40+00:00,1,Twitter for iPhone,"Please don’t think I’m heartbroken, depressed or angry. I’m just dramatic. I am not falling tf apart"
1814,MadisonCummins0,2023-01-14 02:37:55+00:00,38,Twitter for iPhone,You know what Chels? I am feeling incredibly depressed right now… @travelchannel… PLEASE renew #DestinationFear for us 😭🫶🏻
1815,minsologm,2023-01-14 02:36:59+00:00,3,Twitter for iPhone,i’m never tweeting ever again i am depressed now
1816,Idontknowtbh825,2023-01-14 02:36:34+00:00,0,Twitter for iPhone,@SpotifyStatus Pls hurry I need Lana del rey or I am gonna get depressed
1817,cfc_sainz,2023-01-14 02:33:47+00:00,1,Twitter for iPhone,@subtleblossomv2 I am DEPRESSED
1818,milkiesyrup,2023-01-14 02:32:48+00:00,0,Twitter for iPhone,"When I get depressed out of the blue, I completely isolate and refuse to do anything 😞

I tend to miss so many things in the outside world, but I am stuck in my own mind in my bed"
1819,sushiteef,2023-01-14 02:32:43+00:00,0,Twitter for iPhone,i keep forgetting that i am in fact severely depressed with constant suicidal ideations
1820,Breonah_Ann,2023-01-14 02:30:41+00:00,0,Twitter for iPhone,I don’t believe I am as depressed as they feel  however when I tell them my child hood / adolescent traumas  they literally tell me I have major recurrent depression since like 4 yr old
1821,azyanator,2023-01-14 02:30:37+00:00,0,Twitter for iPhone,@ paul mescal if you want another depressed bisexual fiancee i am available and i will never leave you
1822,SirCornel3,2023-01-14 02:29:33+00:00,0,Twitter Web App,"@MMCrypto If I make it in life, I am going to buy you your dream car. You daily encouragement stopped me from being depressed.
Thanks"
1823,PXL_DJmaster72,2023-01-14 02:28:34+00:00,0,Twitter Web App,@Wizards why you gotta destroy two of my fav things within a few months. Its literally making me depressed. I am currently in my last campaign and will go on to support small time TTRPG and hopefully they get that little union that ive heard whispers of. might sell mtg collection
1824,quequequeer,2023-01-14 02:27:01+00:00,0,Twitter for Android,"18. I miss you when I am depressed, just as I miss the sunlight in winter.
#ApoNattawinxDiorTaipei
#Nnattawin
@Nnattawin1"
1825,DepressedJuicee,2023-01-14 02:26:48+00:00,2,Twitter for iPhone,"I am the epitome of health

*cracks open a can of Coke with coffee* https://t.co/kv0HGqVFVX"
1826,ashergasm,2023-01-14 02:22:18+00:00,0,Twitter for iPhone,When I am not even depressed anymore but all I think about is killing myself 😨
1827,Joybabe_oh,2023-01-14 02:17:09+00:00,0,Twitter Web App,I am depressed I need my antidepressants (music) back NOW!!! #spotifydown
1828,sadinRaixbows,2023-01-14 02:16:55+00:00,7,Twitter Web App,"i am not depressed or anything but since I was a child I have always felt like I won't have long to live.. not out of depression but just from ""knowing"" 

it's important for me to realize my most important life duties before that"
1829,glitterwitchx,2023-01-14 02:13:39+00:00,3,Twitter for iPhone,at the indian restaurant— “i am a horse with depression. i am a depressed horse :(“ -@hardxfeelings_
1830,deepthoughts23,2023-01-14 02:04:55+00:00,0,Twitter for Android,"During winters, either I'm horny or I am depressed coz I'm single."
1831,sachiihappy,2023-01-14 02:03:00+00:00,27,Twitter Web App,Because I am once more depressed I shall finish work and draw my beloved Oshi 👺
1832,Ddet_s,2023-01-14 01:59:59+00:00,0,Twitter for Android,"IT'S MANCHESTER DERBY DAY, I AM PREPARE TO BE DEPRESSED https://t.co/NfSYOEKQ0j"
1833,Cyrus929041896,2023-01-14 01:58:27+00:00,1,Twitter for iPhone,"@GeodesicThought @WifeyAlpha Same, I am depressed"
1834,hs1calum,2023-01-14 01:57:19+00:00,0,Twitter for iPhone,im sooo depressed i am going to k/ll myselfysfe
1835,sailorpitou,2023-01-14 01:56:42+00:00,2,Twitter Web App,everytime it rains here (which it does nearly every day) i always think about the outdoor cats stuck out in there and get depressed. then i think about bungi and how glad i am to have her inside now and snuggle her
1836,dannyzeeee,2023-01-14 01:52:10+00:00,0,Twitter for iPhone,@TackettGenes I am depressed from a 1 foot sati a maple leaf missing 2 bright Khalifa kush and 1 dark dark bud purple …..
1837,Big_Q_,2023-01-14 01:49:52+00:00,2,Twitter for Android,I am way too depressed lately for the Penguins to be doing the kind of emotional damage they have been doing to me the last half dozen games.
1838,scooperhoops,2023-01-14 01:42:23+00:00,59,Twitter for Android,Austin Rivers would be our best ball handler right now??? I am very depressed?
1839,dionysusshrimp,2023-01-14 01:36:54+00:00,4,Twitter Web App,"whenever i am depressed i remind myself ""the worst is yet to come"" and it always makes me feel better; that is a future me problem not a present me problem"
1840,S4NTI1973,2023-01-14 01:35:03+00:00,0,Twitter for iPhone,"When I am happy &amp; cheerful, my friends know who I am. When I am down and depressed I know who my friends are."
1841,AngerissuesMF,2023-01-14 01:34:05+00:00,0,Twitter for iPhone,"I am super Depressed because what has been going on in my life right now, I almost had a mental break down at work because I got call on what is happen. My sister may go to jail because of the shit. I don’t wanna go back to the place I was at because how it was. I hate it here"
1842,BoxLlama,2023-01-14 01:33:36+00:00,2,Twitter for iPhone,I am so depressed that Dead End got canceled. I hate Netflix so much
1843,peterjamesvk1,2023-01-14 01:28:03+00:00,0,Twitter for Android,@Abella_Danger I hope you get the mods you need Abella! I would volunteer but I have never done it and don't know how. I am kind and respectful but also a bit depressed and not online a lot. I find life very lonely a lot of the time.
1844,uchuu_train,2023-01-14 01:25:41+00:00,0,Twitter for Android,I am so depressed and salty about not getting to see NCT... again 😭
1845,DepressedVTuber,2023-01-14 01:23:05+00:00,5,Twitter Web App,"I am owed 18 years of child support, picture of letters, please help donate to my causes against this poggy woggy bust and runner @CEOByori"
1846,DukoponBot,2023-01-14 01:19:00+00:00,0,"Cheap Bots, Done Quick!",I am probably depressed
1847,Iamdepr47974144,2023-01-14 01:14:22+00:00,0,"Cheap Bots, Done Quick!",I  can't wait to get the hell out. so I'll just end it . #depression @Imheret45140132
1848,DcrlingAlex,2023-01-14 01:14:10+00:00,3,Twitter for iPad,I’m so tired today- I had so many people ask me if I’m ok cus I guess I looked depressed (which I am but like) 😭
1849,JEONGALAXIES16,2023-01-14 01:06:20+00:00,0,Twitter for iPhone,I am sad and depressed damn 😭😔 I just reading my momma book that my aunt gin give me and just I wish my momma was here
1850,kellyluvsreadin,2023-01-14 01:02:58+00:00,0,Twitter Web App,Just to make things clear: I am still depressed. My beloved cat's ashes arrived today and I'm devastated about losing him all over again. But I took a 30 minute walk and now I feel better. And it pisses me off that it never fails to work.
1851,rinindiapers,2023-01-14 01:00:51+00:00,1,Twitter for Android,@artsy_tm i diiiiiiid but i cant take photos when i am depressed anyway so id first have to fix that before buying fishnet gloves:p
1852,gibby_lover666,2023-01-14 01:00:02+00:00,3,Twitter for iPhone,adhd meds need to be constantly accessible for people with a prescription. depressed people can’t go off METH for days without repercussions. i am struggling #controlledmeds #adderall #adderallshortage
1853,RoseyRoseamund,2023-01-14 00:58:14+00:00,45,Twitter for Android,"Man, as sad &amp; depressed as I am over my marriage ending, I'm so fucking happy I've made the decision to leave, or at least emotionally separate until I can.

I'm reclaiming my married name to my Paul &amp; I am NEVER looking back."
1854,natehowwwe,2023-01-14 00:56:14+00:00,58,Twitter Web App,"I AM SO FUCKING DEPRESSED RIGHT NOW

https://t.co/gdRUPSJJOV https://t.co/7ECzcmfsjC"
1855,VictoryGoat,2023-01-14 00:55:33+00:00,0,Twitter for iPhone,I am a supremely depressed individual
1856,gothfroggie,2023-01-14 00:53:09+00:00,4,Twitter for iPhone,some teenagers told me I had “W Drip” when I was walking to work today so maybe I am cool now? Am I hip and with it?
1857,Mudgirl930,2023-01-14 00:49:05+00:00,0,Twitter for iPhone,"Somehow I missed a day so it’s day 23 of my TMS journey and I am simply amazed at how good I feel. I’m just walking around wondering if this how non depressed folks feel all the time, and if so , how are you not constantly smiling or jumping for joy? I wish that I could explain"
1858,babypuppy_17,2023-01-14 00:41:26+00:00,0,Twitter for Android,@hange_Zzz Sim
1859,babypuppy_17,2023-01-14 00:40:45+00:00,1,Twitter for Android,@Joohooneysz Praia
1860,babypuppy_17,2023-01-14 00:40:35+00:00,1,Twitter for Android,@Joohooneysz Sim
1861,arque666,2023-01-14 00:37:20+00:00,4,Twitter for iPhone,i am NOT depressed i just happened to watch drag race for 10 hours straight without realizing !!!
1862,gn1ta,2023-01-14 00:35:34+00:00,1,Twitter for iPhone,i am NOT depressed 😡
1863,grimmbrujah,2023-01-14 00:29:01+00:00,0,Twitter for Android,"@shazzycat10 @TimHermansson Easy to say, but still no tanks unless it's Poland. I am not even going to talk about Switzerland"
1864,kilotestimony24,2023-01-14 00:26:36+00:00,0,Twitter for iPhone,"Lord I am asking U 2 Remove That Little bit of Anger in me that won’t let go of certain hurt that was meant to keep me down. I ask you to remove that depressed layer of skin that sometimes I forget to wash off. I ask you to continue 2 clean me please, I fall short but I am trying"
1865,IAmRipoff,2023-01-14 00:24:08+00:00,0,Twitter Web App,"@Mothalamp that depress feel when realize I have no goblin

ty for yer time ser, will continue my search https://t.co/iLXaDUXaLT"
1866,grimmbrujah,2023-01-14 00:22:29+00:00,0,Twitter for Android,@TimHermansson Because our politicans are all secretly Nazis. I am so sorry. But we are trying and are going to fight them as hard as we can. You are not alone.
1867,grimmbrujah,2023-01-14 00:20:47+00:00,0,Twitter for Android,@FupaBalls I am so sorry.
1868,robinnuwu,2023-01-14 00:18:56+00:00,2,Twitter for Android,"currently watching young royals and who what when why HUH? i am so depressed, in shock, lonely, i fon't even know anymore"
1869,_mermamii,2023-01-14 00:18:44+00:00,2,Twitter for iPhone,"ngl I am mentally just not okay. I’m so depressed, I’m terrified, I’m nervous, I’m not ready, my heart hurts &amp; my mind is always racing &amp; I feel so incredibly alone.. 😞"
1870,Gidsentinel,2023-01-14 00:16:20+00:00,23,Twitter for iPhone,"Proper weird where I am mentally at the moment. Don’t think the date or timeline is hitting me yet. Just fatigued, but can’t sleep. 
Not depressed, but I think I’m emotionally getting into the brace position because the mental impact is going to be a doosy 🙃"
1871,Iamdepr47974144,2023-01-14 00:14:06+00:00,0,"Cheap Bots, Done Quick!",I  think I'll buy a gun. I'll kill myself . #anxiety @Imheret45140132
1872,YamaEmilie,2023-01-14 00:12:55+00:00,0,Twitter Web App,"@Oloni I was on Depo , however unlike before , I find myself being depressed , I gained some weight  so I decided to go off it and it pull up which I didn’t like risky . I am in search for something natural and less harming ."
1873,widerubyyhappy,2023-01-14 00:11:01+00:00,0,Twitter for Android,"a bitch is depressed and a bitch feels like a failure
i am said bitch"
1874,Michael45150514,2023-01-14 00:09:49+00:00,0,Twitter for iPhone,@LeoGuzman2224 @VICE @VICETV I am not the one being conned by a snake oil salesman who got his wealth by pimping out girls on only fans for lonely depressed men and forcing them to degrade themselves and threatening them with violence and then talking about it on podcasts
1875,karmaismybf28,2023-01-14 00:07:21+00:00,1,Twitter for iPhone,WHY TF DOES MATILDA START PLAYING AFTER EVERY PLAYLIST ENDS REGARDLESS OF WHAT IT IS SPOTIFY IK I PLAY IT A LOT BUT YOU DONT HAVE TO REMIND ME HOW DEPRESSED I AM
1876,Mholah,2023-01-14 00:04:21+00:00,0,Twitter for iPhone,@MaireTNC Feck you all. I always let one person ahead with few items. I let a school boy go ahead of me in Tesco today. He had a bottle of lucozade all good and then he said thank you mam How fucking old does he think I am now I feel old and am so depressed because I did a good thing.
1877,freiherrKvK,2023-01-13 23:59:35+00:00,0,Twitter Web App,"@CommanderMP Do not know what it is like to be an instructor/trainer, but I am sorry to hear you were depressed and hopeless.  One thing I know is that exercise of any kind releases endorphins, which make you feel better, i.e., if you can do press-ups at home, you can release endorphins."
1878,Lyfewithskyee,2023-01-13 23:50:34+00:00,4,Twitter for iPhone,#linkme #skyeenicole #contentcreator #ambition #dontquityourdaydream 💙 so close to success I continue manifesting even though today I am depressed and have been recently and in pain. Cause #ptsd #anxiety #chronicillness #bpd #smh https://t.co/P2DIjf09ZI https://t.co/nlFl2aQgJu
1879,CPhT_LVN_RN,2023-01-13 23:48:19+00:00,0,Twitter for Android,God I am incredibly depressed about being stuck at one job and in this damn shit ass state for at least the next 2 years. Feels like I'm losing a big chunk of my freedom and independence.  :/
1880,Lisa86550169,2023-01-13 23:47:13+00:00,0,Twitter for Android,@burgessev I am beyond depressed
1881,FabianStangenb1,2023-01-13 23:44:00+00:00,0,Twitter Web App,@SeanRossSapp Pls god pls just good news. I just need 1 good thing because i am getting more depressed everyday seeing this stuff
1882,BoredSadGaySwag,2023-01-13 23:43:37+00:00,1,Twitter for iPhone,I only go on twitter when i am depressed and have nothing less to scroll on #real
1883,CaptainAsia3,2023-01-13 23:37:26+00:00,1,Twitter for Android,Do you know how fucking Yolked I am for the Phineas and ferb revival! Imma get my shit together. Yeah. Rsd? What's that! Burnout? Hit that self destruct button. I'm so pumped right now. I'm opposite of depressed. I'm like super anti-depressed i mean happy
1884,JoannaPeter6,2023-01-13 23:35:14+00:00,0,Twitter Web App,"I am no longer lying in bed all day.  I feel better, and don't feel depressed.  I got some good things done today.  I have a new lease on life."
1885,_NewMoon07,2023-01-13 23:33:08+00:00,1,Twitter for Android,"// I am seriously underwhelmed by the Steel ball run 2 and depressed, no hate towards the management but I feel like I over hyped it for myself and since the small 10 day span of the event and the traps laid out by Mark being disabled at the end, I might not even involve myself+"
1886,grimmbrujah,2023-01-13 23:29:11+00:00,0,Twitter for Android,@tomaburque I put your hands onto my heart my brave angel and my heart hurts because your hands are cold. I am so sorry you didn't stay longer. I am so sorry.
1887,holly_blud,2023-01-13 23:28:57+00:00,1,Twitter for iPhone,Crying over how depressed I am and how much I miss dom even tho I literally see him again in 35 days 💀
1888,henrytcasey,2023-01-13 23:23:25+00:00,0,Twitter for iPhone,I know how depressed I am by the amount of boring wrestling I watch.
1889,aaweebpotato,2023-01-13 23:21:14+00:00,0,Twitter Web App,ik university is in a month and something days but I am already feeling depressed cuz like I wanna try games but am stuck on the games I play daily :)
1890,jackieloveswdwx,2023-01-13 23:19:46+00:00,1,Twitter for iPhone,@lMAGINEHERRON @SeaveyDaniel Yeah i am so glad to know wdw and the guys because they are really nice people the band i met took advantage of my shyness and not thanking them all for a picture i was publicly humiliated infront of everyone i was depressed about it for days they made me feel so bad for it-
1891,Iamdepr47974144,2023-01-13 23:13:56+00:00,0,"Cheap Bots, Done Quick!",I  want to die. I'm going to hurt someone . #life @Imheret45140132
1892,WayneSaucier2,2023-01-13 23:13:42+00:00,2,Twitter Web App,"@hardasamother I have been living alone for over 20 years and yes sometimes I feel lonely and depressed.  When that happens I go to Walmart, look around at the shoppers and soon I am glad I live alone.  😈"
1893,TropicalSolaire,2023-01-13 23:13:31+00:00,8,Twitter for Android,"Free for the next 3 days, I am no longer depressed (for 3 days)

PS: Gonna finish the main story for The Witcher 3"
1894,HNNHLCY,2023-01-13 23:07:25+00:00,1,Twitter for iPhone,I keep having dreams about how many work emails I come home to and how depressed I’ll be when I’m home 😭 if I come back to 1853 emails then I am a mind reader 🤯
1895,eternaltylenol,2023-01-13 23:05:39+00:00,7,Twitter for iPhone,"I am depressed, sad, and feel unworthy every morning for no reason"
1896,kpopachillean,2023-01-13 23:02:46+00:00,59,Twitter for Android,"By the time Boys Planet ends everyone will be as depressed as I am over Jiwoong and Seobin, sorry not sorry, we share the pain"
1897,Arley_OW,2023-01-13 22:59:55+00:00,0,Twitter for Android,"No one, not even the ones closest to me know just how truly depressed I am. I try to hide it but everyday I just want to lay in bed and forget I exist."
1898,irisxcals,2023-01-13 22:58:29+00:00,0,Twitter for iPhone,i haven't been on bc i've gone into a horrible binge period 😔 i'm gonna stop now tho . my binging has gotten so bad i always do it when i'm depressed now but i am DONE
1899,m55642534,2023-01-13 22:56:24+00:00,1,Twitter for Android,@replicantpinky Now I am just depressed pizza hut is gone where I am.  It was an experience  just going
1900,CloudedPoetry,2023-01-13 22:50:30+00:00,0,Twitter for iPhone,I thought having a show might kick me in the butt but it in fact has not and now I am just depressed by my lack of progress.
1901,zadrips,2023-01-13 22:48:23+00:00,0,Twitter for iPhone,"I am sick and tired of this depression that hinders me
I am tired of being ok when second then falling down crying the second, sometimes i get too depressed my body literally paralyze and i am so sick of it"
1902,ashek7576,2023-01-13 22:43:43+00:00,0,Twitter for Android,"@ezgisnlr @furkandic
I am still missing Aysen Yilmaz on #Çati_Kati_Ask.Can't believe that such a nice and beautiful drama has this type of ending.I am very disappointed and Depressed.❤🇧🇩"
1903,Jadeeeekellyyyy,2023-01-13 22:39:20+00:00,0,Twitter for iPhone,@saikiz_ I am both that. Depressed in bed on my days off xoxo
1904,JustAno49260271,2023-01-13 22:39:07+00:00,0,Twitter Web App,@Jxsse_999 and then come home and then let go and let it all out and cry and break down.. I am just so depressed it will take time for me to get over this. I dont want anything to happen to me where it leads to my own death so I am fighting to get back on my feet but things come in waves
1905,babypuppy_17,2023-01-13 22:32:35+00:00,1,Twitter for Android,@Ioveuspace @NjoonRapLine_94
1906,CarlottaMKM,2023-01-13 22:31:39+00:00,0,Twitter for iPhone,"Broken water main 2 blocks north. Was resolved by bedtime. Broke a tooth 🦷 right before supper. Lingering plumbing 🪠 issues. I am now fully depressed, but will soldier on…"
1907,Lovelife196688,2023-01-13 22:31:19+00:00,0,Twitter for iPhone,"@LisaPresley I am so sorry I’m saying that to you right now it’s a little too late rest in peace, Lisa and your son to Bensimon. I know you were hurting when you’re depressed about your son likes it in your eyes. My aunt knew  your mom they talked on the phone all the time rest in peace, Lisa"
1908,Delete_now_this,2023-01-13 22:31:17+00:00,2,Twitter for iPhone,@JohnnySins @ElleBrookeUK @ParikPatelCFA blown tf out
1909,NamelessTracer,2023-01-13 22:24:35+00:00,0,Twitter for iPhone,"When I made the “last” First Mark video, I did it in a nostalgic rush because I felt sad that my team was pretty much finished.

The one I personally made was because I was depressed and used the memory of First Mark for comfort.

Now, I am redoing it in a better state of mind."
1910,efebitcoin,2023-01-13 22:23:22+00:00,3,Twitter Web App,@wtfakamoto @3DNuts I am pretty depressed by the price action
1911,TripleAries328,2023-01-13 22:21:22+00:00,0,Twitter for iPhone,"@NBSaphierMD So much to refute - she’s like 2 months older than I am &amp; a trim woman. I couldn’t imagine having heart issues. She’s abused drugs &amp; alcohol for yrs, was recently depressed, &amp; probably took the Covid vax. 

Female hormones protect women’s hearts &amp; she’s barely out of menopause."
1912,gnavas103,2023-01-13 22:19:01+00:00,1,Twitter for iPhone,@fesbutter I do often! I am@pretty depressed
1913,Iamdepr47974144,2023-01-13 22:14:03+00:00,0,"Cheap Bots, Done Quick!",I  can't wait to get the hell out. I'm going to hurt someone . #depression @Imheret45140132
1914,BlakeOSheaFL,2023-01-13 22:12:35+00:00,0,Twitter Web App,"The worst part about it is you will have to miss the gym/run. Sorry! I hate it too, I am depressed. But the ""sweat it out"" thing is no good. If you have a runny or stuffy nose,stay away from the gym. I went yesterday, because my air passages were clear, I didnt have a sore throat"
1915,askLindseyy,2023-01-13 22:11:02+00:00,3,Twitter for iPhone,I’ve been work depressed for SO LONG and today I am finally work happy again. Things are looking up!!!
1916,xkkravenx,2023-01-13 22:08:07+00:00,0,Twitter for Android,ao3 is down and i am feeling depressed
1917,JustAno49260271,2023-01-13 22:06:06+00:00,0,Twitter Web App,I should be.. proud that I am almost to the finish line with film school.. but atm.. I just have very low energy and still am quite depressed it is coming in waves.. I am still struggling so it is very hard to stay in that positive vibe. I want to make people proud
1918,Ceecwasnothere,2023-01-13 22:03:19+00:00,1,Twitter Web App,I am NOT depressed 👍🏼
1919,mhmd_nwralhdy,2023-01-13 21:59:38+00:00,1,Twitter for Android,"I hope to meet in my life the person I complain about without what I am carrying. They may see me as depressed or too sensitive, or I feel one day that I have become heavy on him or he will get bored of me. I miss the feeling of having a permanent person in my life"
1920,MrRuby_,2023-01-13 21:58:37+00:00,1,Twitter Web App,@2020Baytree @Mel22310239 @MPT_JJ2 ok then have fun knowing i am depressed cuz of u and ur cheater fav youtuber who rigged it against THE BELLY FANDOM
1921,DeepCrustacean,2023-01-13 21:57:50+00:00,1,Twitter for Android,"@faecuddlebug I am a boy, I'm strong too"
1922,books_and_bakes,2023-01-13 21:55:14+00:00,1,Twitter for iPhone,I text my best friend yesterday basically saying I’m really depressed and overwhelmed by life so she’s coming over today after work. I know for a fact that I am going to cry when I see her because that woman brings out so much emotion in me it’s crazy.
1923,MulisaTech,2023-01-13 21:49:29+00:00,0,Twitter for Android,"I am going to stop this happy guy mask I put on in public. I'm probably depressed in a strange way . I'm happy but not happy , grateful for life but want to just go off the grid for a while"
1924,therealkestates,2023-01-13 21:46:12+00:00,0,Twitter for iPhone,Ima still crack a lil joke no matter how sad or depressed I am
1925,yasrebi_fatima,2023-01-13 21:44:58+00:00,1,Twitter for Android,"@Armnlll @v_xtra @KnownOrigin_io @foundation Gn..thank you so much my dear..I am very tired and depressed, but I will be back🖤🖤🖤"
1926,CalistoEmil,2023-01-13 21:40:40+00:00,1,Twitter for iPhone,@ribb0nzz The fact that I am lost in what seems like an inside joke in a friend group I thought I was part of makes me kinda depressed. I feel like a failure as a friend somehow
1927,khendravb,2023-01-13 21:33:40+00:00,0,Twitter for iPhone,My coworker bestie just got let go and I am so fucking depressed 😔😣😖🤮
1928,TimothysVlogs1,2023-01-13 21:20:41+00:00,0,Twitter Web App,I am now depressed @KreekCraft lost
1929,SpoofGaming_,2023-01-13 21:19:22+00:00,12,Twitter for iPad,I am depressed now because tanqr won
1930,a_e_lc,2023-01-13 21:14:02+00:00,0,Twitter for iPhone,"1 week a month I’m a severely depressed, insecure and painfully lonely bitch. 1 week a month I’m bleeding. 1 week a month I’m ovulating and willing to overlook every red flag in the book. 1 week a month I am ….. normal?"
1931,carmen_stadi,2023-01-13 21:09:49+00:00,75,Twitter for Android,yeah just found this in my camera roll and now i am depressed ist https://t.co/mhqi1PD5rV
1932,TheJimmyMurray,2023-01-13 21:09:04+00:00,3,Twitter Web App,"Me: I am depressed and hungry. What should I do?

Brain: How about a Pub Sub?

{Later}

Me: I am no longer hungry."
1933,frillsofwills,2023-01-13 21:02:55+00:00,1,Twitter for iPhone,i am chronically ill and depressed i cannot do that
1934,posix4e,2023-01-13 21:00:00+00:00,2,Buffer,"I am depressed at the lack of overlap between the crypto community and locals. I'm always amazed that these two don't have more overlap. I feel like crypto needs to do a better job reaching out, not just toss money at the problem"
1935,Hakuame91,2023-01-13 20:52:43+00:00,0,Twitter for Android,"I may disassociate completely from my insane family for my own sake and mental health, I am so depressed now."
1936,moriioo,2023-01-13 20:43:06+00:00,0,Twitter for iPhone,and just like that i am no longer depressed
1937,TheKaiMann,2023-01-13 20:39:06+00:00,1,Twitter for iPhone,@joshnamesnotjo1 I am now depressed
1938,midoshino_bot,2023-01-13 20:33:57+00:00,0,twittbot.net,"I, as well, shall work harder than before.

So that Midori-kun shall no longer feel the need to say things such as ""I am depressed"" or ""I want to die"" ever again... I shall become stronger and protect this peace."
1939,Tj_BaGram,2023-01-13 20:33:26+00:00,2,Twitter Web App,"@DuranWebDev I am going to retweet it in a bit.  Jae, I wish we would all do this, flood twitter with positivity.  I get depressed just thinking of loggin in."
1940,TiredParrot,2023-01-13 20:27:16+00:00,3,Twitter Web App,"u know you've hit rock bottom when you start crying to captainsparklez's minecraft parodies

I am so sleep deprived and depressed"
1941,nairaland,2023-01-13 20:20:03+00:00,2,dlvr.it,"'I Am Depressed! My Wife &amp; My Son Have Packed Out &amp; Abandoned Me': Good evenning ,

I came back home from work this night to find out my wife and my son have packed and abandoned me .

My son is 4 years old and I really don't mean to hurt my wife .

She… https://t.co/XOtRBzSFhY"
